termino;clave;pilar;pilar_disenso;sectorial;sectorial_disenso;colocacion;consenso;n_revisores;revisores;estado_vocabulario;cubierto_por;justificacion
accidental pollution;accidental pollution;E;;0;0;1;maximo;3;1+2+3;cubierto;pollution;Total prevention chapter and site risk analysis
air quality;air quality;E;;0;0;1;maximo;3;1+2+3;en vocabulario;;Iberdrola awareness campaigns and Total NOx impact assessment
animal welfare;animal welfare;E;;1;0;0;maximo;3;1+2+3;en vocabulario;;Ahold environmental ESG statement on cage free eggs
avoided emission;avoided emission;E;;0;0;1;maximo;3;1+2+3;cubierto;emission;ASML distinguishes avoided from reduced emissions
biodiversity;biodiversity;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;Iberdrola Total Sanofi plans commitments and reports
biodiversity action plan;biodiversity action plan;E;;0;0;1;maximo;3;1+2+3;cubierto;biodiversity;Total deploys plans for sites in protected areas
biofuel;biofuel;E;;1;0;0;maximo;3;1+2+3;en vocabulario;;Total certified sustainable biofuels and La Mede biorefinery
carbon credit;carbon credit;E;;0;0;1;maximo;3;1+2+3;cubierto;carbon;ASML plans purchasing and retiring carbon credits
carbon footprint;carbon footprint;E;;0;0;1;maximo;3;1+2+3;cubierto;footprint;AXA Sanofi Total and ASML measure and reduce footprint
carbon neutrality;carbon neutrality;E;;0;0;1;maximo;3;1+2+3;en vocabulario;;Sanofi 2050 pledge and AXA 2025 operations target
carbon offset;carbon offset;E;;0;0;1;maximo;3;1+2+3;cubierto;carbon;ASML offset portfolio limited to removal projects
carbon sink;carbon sink;E;;0;0;1;maximo;3;1+2+3;cubierto;carbon;Iberdrola offsets with sinks and Total invests in NBS
cdp;cdp;E;E/TRANS;0;0;0;maximo;3;1+2+3;en vocabulario;;Sanofi Total and ASML respond to Carbon Disclosure Project
charging point;charging point;E;;0;1;1;maximo;3;1+2+3;HUECO;;Iberdrola and Total recharging infrastructure targets
circular economy;circular economy;E;;0;0;1;maximo;3;1+2+3;en vocabulario;;Iberdrola Total Enel ASML circular strategies
climate action;climate action;E;;0;0;1;maximo;3;1+2+3;cubierto;climate;ASML topic pairing energy efficiency with climate action
climate change;climate change;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;combated and adapted to by Iberdrola Sanofi Enel ASML
climate change adaptation;climate change adaptation;E;;0;0;1;maximo;3;1+2+3;cubierto;climate change;Enel adaptation plans and Sanofi adapting to consequences
climate change mitigation;climate change mitigation;E;;0;0;1;maximo;3;1+2+3;cubierto;climate change;Enel and ASML taxonomy classification of climate actions
climate resilience;climate resilience;E;;0;0;1;maximo;3;1+2+3;cubierto;climate;Sanofi climate resilience strategy and ASML resilience analysis
climate risk;climate risk;E;;0;0;1;maximo;3;1+2+3;cubierto;climate;Sanofi Enel and ASML identify climate-related risks
climate scenario;climate scenario;E;;0;0;1;maximo;3;1+2+3;cubierto;climate;Enel long-term climate scenarios for asset vulnerability
climate transition plan;climate transition plan;E;;0;0;1;maximo;3;1+2+3;cubierto;transition plan;ASML strategic roadmap toward GHG neutrality
co2 emission;co2 emission;E;;0;0;1;maximo;3;1+2+3;cubierto;emission;quantified by Iberdrola Total Airbus Stellantis Enel
corporate average fuel economy;corporate average fuel economy;E;;1;0;1;maximo;3;1+2+3;cubierto;fuel;Stellantis CAFE compliance as bonus payout trigger
decarbonisation;decarbonization;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;Iberdrola Enel Airbus ASML decarbonisation roadmaps
deforestation;deforestation;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;Total non-deforestation criterion for biofuel feedstock
ecosystem;ecosystem;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;Total and Sanofi manage impacts on ecosystems
electric vehicle;electric vehicle;E;;0;1;1;maximo;3;1+2+3;HUECO;;Iberdrola promotion and Stellantis product regulation
electrification;electrification;E;;0;1;0;maximo;3;1+2+3;en vocabulario;;Iberdrola Enel electrification of demand ASML of industrial sites
emission;emission;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;central environmental output word in every industrial report
emission factor;emission factor;E;;0;0;1;maximo;3;1+2+3;cubierto;emission;Sanofi DEFRA factors and ASML grid emission factors
emission intensity;emission intensity;E;;0;0;1;maximo;3;1+2+3;cubierto;emission;ASML CO2e per gross profit Iberdrola grams per kWh
energy attribute certificate;energy attribute certificate;E;;0;0;1;maximo;3;1+2+3;HUECO;;ASML market-based scope 2 accounting instrument
energy consumption;energy consumption;E;;0;0;1;maximo;3;1+2+3;en vocabulario;;measured and reduced by Sanofi ASML Total
energy efficiency;energy efficiency;E;;0;0;1;maximo;3;1+2+3;en vocabulario;;Sanofi ASML Iberdrola programmes and product roadmaps
energy mix;energy mix;E;;0;0;1;maximo;3;1+2+3;en vocabulario;;Enel share of renewable sources in generation mix
energy saving;energy saving;E;;0;0;1;maximo;3;1+2+3;HUECO;;ASML five-year energy savings master plan
energy transition;energy transition;E;;0;0;1;maximo;3;1+2+3;en vocabulario;;Iberdrola and Enel central environmental narrative
environmental compliance;environmental compliance;E;;0;0;1;maximo;3;1+2+3;cubierto;environ\w+;Iberdrola manages environmental compliance by suppliers
environmental footprint;environmental footprint;E;;0;0;1;maximo;3;1+2+3;cubierto;footprint;Iberdrola corporate environmental footprint Total limiting footprint
environmental impact;environmental impact;E;;0;0;1;maximo;3;1+2+3;cubierto;environ\w+;assessed by Sanofi Total Iberdrola for sites and products
environmental impact assessment;environmental impact assessment;E;;0;0;1;maximo;3;1+2+3;cubierto;environ\w+;Total internal rules require assessment for new facilities
environmental management system;environmental management system;E;;0;0;1;maximo;3;1+2+3;cubierto;environ\w+;Total certified sites and Iberdrola optimisation
environmental performance;environmental performance;E;;0;0;1;maximo;3;1+2+3;cubierto;environ\w+;Total performance reviewed annually by audit committee
environmental policy;environmental policy;E;;0;0;1;maximo;3;1+2+3;cubierto;environ\w+;Iberdrola policy and AXA board review of environmental policy
environmental protection;environmental protection;E;;0;0;1;maximo;3;1+2+3;cubierto;environ\w+;Total provisions employee training and site measures
environmental risk;environmental risk;E;;0;0;1;maximo;3;1+2+3;cubierto;environ\w+;Total structured management policy for environmental risks
eu taxonomy;eu taxonomy;E;E/TRANS;0;0;1;maximo;3;1+2+3;en vocabulario;;Airbus ASML Deutsche Boerse eligibility and alignment disclosure
food waste;food waste;E;;1;0;1;maximo;3;1+2+3;cubierto;waste;Ahold healthy and sustainable KPI and GRI correction
ghg neutrality;ghg neutrality;E;;0;0;1;maximo;3;1+2+3;cubierto;ghg;ASML value chain neutrality ambition by 2040
ghg protocol;ghg protocol;E;;0;0;1;maximo;3;1+2+3;cubierto;ghg;Sanofi and ASML calculate emissions per GHG Protocol
global warming;global warming;E;;0;0;1;maximo;3;1+2+3;en vocabulario;;limiting warming to 1.5 degrees at Sanofi and ASML
green bond;green bond;E;;0;0;1;maximo;3;1+2+3;en vocabulario;;Iberdrola eligible green projects and ASML green bond framework
green building;green building;E;;0;0;1;maximo;3;1+2+3;HUECO;;ASML new offices meeting latest green building standards
green deal;green deal;E;;0;0;0;maximo;3;1+2+3;HUECO;;Iberdrola cites EU Green Deal as recovery instrument
green electricity;green electricity;E;;0;0;1;maximo;3;1+2+3;cubierto;electricity;ASML direct purchase agreements in Netherlands Taiwan Korea
green financing;green financing;E;;0;0;1;maximo;3;1+2+3;HUECO;;Iberdrola principal finance instrument for sustainable growth
green hydrogen;green hydrogen;E;;1;0;1;maximo;3;1+2+3;en vocabulario;;Iberdrola and Total industrial production projects
greenhouse gas emission;greenhouse gas emission;E;;0;0;1;maximo;3;1+2+3;cubierto;greenhouse;bare gas means natural gas here so phrase needed
hydroelectric;hydroelectric;E;;1;0;0;maximo;3;1+2+3;en vocabulario;;Iberdrola and Enel generation technology breakdown
internal carbon price;internal carbon price;E;;0;0;1;maximo;3;1+2+3;cubierto;carbon;ASML sets 200 euro per tonne for investment decisions
iso 14001;iso 14001;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;environmental management certification at Total and Iberdrola
iso 50001;iso 50001;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;Sanofi energy management system certification at 28 sites
landfill;landfill;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;Sanofi landfill disposal rate target below one percent
life cycle assessment;life cycle assessment;E;;0;0;1;maximo;3;1+2+3;en vocabulario;;ASML product LCAs and Airbus life cycle analysis methodology
locked-in emission;locked in emission;E;;0;0;1;maximo;3;1+2+3;cubierto;emission;ASML gas boilers and sold product lifetime emissions
low-carbon energy;low carbon energy;E;;0;0;1;maximo;3;1+2+3;cubierto;low carbon;Sanofi low-carbon energy policy and ASML alternatives
natural capital;natural capital;E;;0;0;1;maximo;3;1+2+3;en vocabulario;;Iberdrola IIRC capital and Natural Capitals working group
net zero;net zero;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;ASML and SBTi corporate net-zero standard terminology
nox emission;nox emission;E;;1;0;1;maximo;3;1+2+3;cubierto;emission;Total offshore exploration and production atmospheric emissions
oil spill;oil spill;E;;1;0;1;maximo;3;1+2+3;HUECO;;Total accidental hydrocarbon spill reporting and response
paris agreement;paris agreement;E;;0;0;0;maximo;3;1+2+3;cubierto;paris\s+agreement;alignment target referenced by Sanofi Total ASML Enel
photovoltaic plant;photovoltaic plant;E;;1;0;1;maximo;3;1+2+3;cubierto;photovoltaic;Iberdrola solar generation assets in Spain
physical risk;physical risk;E;;0;0;1;maximo;3;1+2+3;HUECO;;Iberdrola Sanofi Enel distinguish physical from transition risk
pollution;pollution;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;Iberdrola avoids discharges Total prevents accidental pollution
power purchase agreement;power purchase agreement;E;;0;0;1;maximo;3;1+2+3;HUECO;;ASML Taiwan PPA and Sanofi Enel Mexico agreement
protected area;protected area;E;;0;0;1;maximo;3;1+2+3;HUECO;;Total avoids exploration in IUCN and Ramsar areas
recycling;recycling;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;Iberdrola office waste Sanofi 3R rate ASML materials
reforestation;reforestation;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;Iberdrola trees programme and Total site redevelopment
refrigerant;refrigerant;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;Sanofi switches to lower global warming potential substitutes
renewable electricity;renewable electricity;E;;0;0;1;maximo;3;1+2+3;cubierto;electricity;Sanofi RE100 pledge and ASML 100 percent target
renewable energy;renewable energy;E;;0;0;1;maximo;3;1+2+3;cubierto;renewable;bare renewable ambiguous so phrase retained
residual emission;residual emission;E;;0;0;1;maximo;3;1+2+3;cubierto;emission;ASML compensates residual emissions starting 2025
science based target;science based target;E;;0;0;1;maximo;3;1+2+3;en vocabulario;;validated reduction targets at Sanofi and ASML
site remediation;site remediation;E;;0;0;1;maximo;3;1+2+3;HUECO;;Total reports 114 decommissioned sites under remediation
smart grid;smart grid;E;;1;0;1;maximo;3;1+2+3;HUECO;;Iberdrola grid digitalisation to lead energy transition
smart meter;smart meter;E;;1;0;1;maximo;3;1+2+3;HUECO;;Iberdrola UK rollout and Enel second generation meters
soil contamination;soil contamination;E;;0;0;1;maximo;3;1+2+3;HUECO;;Total assesses soil and groundwater contamination
solar panel;solar panel;E;;0;0;1;maximo;3;1+2+3;cubierto;solar;ASML installs panels on own buildings for own consumption
sulfur dioxide emission;sulfur dioxide emission;E;;1;0;1;maximo;3;1+2+3;cubierto;emission;Total refinery SO2 reduction target since 2010
supply chain emission;supply chain emission;E;;0;0;1;maximo;3;1+2+3;en vocabulario;;ASML upstream scope 3 target separate from social supply chain
sustainable aviation fuel;sustainable aviation fuel;E;;1;0;1;maximo;3;1+2+3;cubierto;sustainable;Airbus SAF investments and ASML freight purchases
sustainable mobility;sustainable mobility;E;;0;0;1;maximo;3;1+2+3;cubierto;sustainable;Iberdrola plan and ASML Dutch business mobility pledge
sustainable packaging;sustainable packaging;E;;0;1;1;maximo;3;1+2+3;cubierto;sustainable;Ahold healthy and sustainable committee KPI
taxonomy-aligned;taxonomy aligned;E;E/TRANS;0;0;1;maximo;3;1+2+3;en vocabulario;;Airbus turnover of environmentally sustainable activities
taxonomy-eligible;taxonomy eligible;E;E/TRANS;0;0;1;maximo;3;1+2+3;en vocabulario;;Airbus and ASML classify activities as taxonomy eligible
tcfd;tcfd;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;Sanofi and Enel apply Task Force climate disclosure recommendations
transition risk;transition risk;E;;0;0;1;maximo;3;1+2+3;HUECO;;regulatory and market risk tied to emission reduction goals
waste generated;waste generated;E;;0;0;1;maximo;3;1+2+3;cubierto;waste;Ahold GRI 306-3 tonnage disclosure
waste management;waste management;E;;0;0;1;maximo;3;1+2+3;cubierto;waste;Sanofi and Total residual waste and recovery plans
waste recycled;waste recycled;E;;0;0;1;maximo;3;1+2+3;cubierto;waste;Ahold percentage of total waste recycled
wastewater;wastewater;E;;0;0;0;maximo;3;1+2+3;en vocabulario;;Total treatment plants and discharges into wastewater
water consumption;water consumption;E;;0;0;1;maximo;3;1+2+3;cubierto;water;Ahold and Sanofi report own operations water use
water discharge;water discharge;E;;0;0;1;maximo;3;1+2+3;cubierto;water;Total hydrocarbon content of onshore and offshore discharges
water footprint;water footprint;E;;0;0;1;maximo;3;1+2+3;cubierto;footprint;Iberdrola water scarcity footprint verification
water stress;water stress;E;;0;0;1;maximo;3;1+2+3;cubierto;water;Total WRI Aqueduct assessment and Sanofi priority sites
water withdrawal;water withdrawal;E;;0;0;1;maximo;3;1+2+3;cubierto;water;Total fresh water withdrawals and Sanofi water indicator
wind farm;wind farm;E;;1;0;1;maximo;3;1+2+3;en vocabulario;;Iberdrola offshore and onshore generation assets
anti-corruption;anti corruption;G;;0;0;0;maximo;3;1+2+3;cubierto;corruption;Airbus policy Total PACI Sanofi GRI 205 disclosure
antitrust;antitrust;G;;0;0;0;maximo;3;1+2+3;en vocabulario;;AB InBev and ASML competition law compliance exposure
articles of association;article of association;G;;0;0;1;maximo;3;1+2+3;HUECO;;Ahold Ferrari ASML basic governance rules
audit committee;audit committee;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Iberdrola AXA Ferrari PSA oversight of reporting and risk
auditor independence;auditor independence;G;;0;0;1;maximo;3;1+2+3;HUECO;;Deutsche Boerse statement and AXA declaration
board attendance;board attendance;G;;0;0;1;maximo;3;1+2+3;HUECO;;Ahold and Ferrari report meeting attendance rates
board committee;board committee;G;;0;0;1;maximo;3;1+2+3;HUECO;;audit remuneration and nomination committees across firms
board diversity;board diversity;G;;0;0;1;maximo;3;1+2+3;cubierto;diversity;Ferrari 30 percent policy and Dutch gender board legislation
board evaluation;board evaluation;G;;0;0;1;maximo;3;1+2+3;HUECO;;Ahold and Enel periodic assessment of own performance
board of directors;board of director;G;;0;0;1;maximo;3;1+2+3;HUECO;;Iberdrola AXA Ferrari Total governing body
business continuity;business continuity;G;;0;0;1;maximo;3;1+2+3;HUECO;;Ahold committee topic and Sanofi continuity plans
business ethics;business ethics;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Sanofi training modules and Airbus key risk area
business integrity;business integrity;G;;0;0;1;maximo;3;1+2+3;cubierto;integrity;Airbus and Nokia programme name for ethics compliance
code of conduct;code of conduct;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Total Airbus employee and supplier conduct rules
code of ethics;code of ethics;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Iberdrola Ahold AXA PSA behavioural rules
compliance risk;compliance risk;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold very low appetite for regulatory breaches
conflict of interest;conflict of interest;G;;0;0;1;maximo;3;1+2+3;en vocabulario;;Ahold Ferrari AB InBev reporting and abstention duties
