termino;clave;r1_detecciones;r2_aprobaciones;consenso_r1;consenso_r2;estable;pilar_r1;pilar_r2;pilar_coincide;pilar_disenso_r2;sectorial_r2;colocacion_r2;estado_vocabulario;cubierto_por
accidental pollution;accidental pollution;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;pollution
air quality;air quality;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
animal welfare;animal welfare;3;3;máximo;máximo;1;E;E;1;E/S;1;0;en vocabulario;
avoided emission;avoided emission;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;emission
biodiversity;biodiversity;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
biodiversity action plan;biodiversity action plan;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;biodiversity
biofuel;biofuel;3;3;máximo;máximo;1;E;E;1;;1;0;en vocabulario;
carbon credit;carbon credit;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;carbon
carbon footprint;carbon footprint;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;footprint
carbon neutrality;carbon neutrality;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
carbon offset;carbon offset;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;carbon
carbon sink;carbon sink;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;carbon
cdp;cdp;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
charging point;charging point;3;3;máximo;máximo;1;E;E;1;;1;0;HUECO;
circular economy;circular economy;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
climate action;climate action;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;climate
climate change;climate change;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
climate change adaptation;climate change adaptation;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;climate change
climate change mitigation;climate change mitigation;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;climate change
climate resilience;climate resilience;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;climate
climate risk;climate risk;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;climate
climate scenario;climate scenario;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;climate
climate transition plan;climate transition plan;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;transition plan
co2 emission;co2 emission;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;emission
corporate average fuel economy;corporate average fuel economy;3;3;máximo;máximo;1;E;E;1;;1;0;cubierto;fuel
decarbonisation;decarbonization;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
deforestation;deforestation;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
electric vehicle;electric vehicle;3;3;máximo;máximo;1;E;E;1;;1;0;HUECO;
electrification;electrification;3;3;máximo;máximo;1;E;E;1;;1;0;en vocabulario;
emission;emission;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
emission factor;emission factor;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;emission
emission intensity;emission intensity;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;emission
energy attribute certificate;energy attribute certificate;3;3;máximo;máximo;1;E;E;1;;0;0;HUECO;
energy consumption;energy consumption;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
energy efficiency;energy efficiency;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
energy mix;energy mix;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
energy saving;energy saving;3;3;máximo;máximo;1;E;E;1;;0;0;HUECO;
energy transition;energy transition;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
environmental compliance;environmental compliance;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;environ\w+
environmental footprint;environmental footprint;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;footprint
environmental impact;environmental impact;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;environ\w+
environmental impact assessment;environmental impact assessment;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;environ\w+
environmental management system;environmental management system;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;environ\w+
environmental performance;environmental performance;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;environ\w+
environmental policy;environmental policy;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;environ\w+
environmental protection;environmental protection;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;environ\w+
environmental risk;environmental risk;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;environ\w+
eu taxonomy;eu taxonomy;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
food waste;food waste;3;3;máximo;máximo;1;E;E;1;;1;0;cubierto;waste
ghg neutrality;ghg neutrality;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;ghg
ghg protocol;ghg protocol;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;ghg
global warming;global warming;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
green bond;green bond;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
green building;green building;3;3;máximo;máximo;1;E;E;1;;0;0;HUECO;
green deal;green deal;3;3;máximo;máximo;1;E;E;1;;0;0;HUECO;
green electricity;green electricity;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;electricity
green financing;green financing;3;3;máximo;máximo;1;E;E;1;;0;0;HUECO;
green hydrogen;green hydrogen;3;3;máximo;máximo;1;E;E;1;;1;0;en vocabulario;
greenhouse gas emission;greenhouse gas emission;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;greenhouse
hydroelectric;hydroelectric;3;3;máximo;máximo;1;E;E;1;;1;0;en vocabulario;
internal carbon price;internal carbon price;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;carbon
iso 14001;iso 14001;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
iso 50001;iso 50001;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
landfill;landfill;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
life cycle assessment;life cycle assessment;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
locked-in emission;locked in emission;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;emission
low-carbon energy;low carbon energy;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;low carbon
natural capital;natural capital;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
net zero;net zero;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
nox emission;nox emission;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;emission
oil spill;oil spill;3;3;máximo;máximo;1;E;E;1;;1;0;HUECO;
paris agreement;paris agreement;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;paris\s+agreement
photovoltaic plant;photovoltaic plant;3;3;máximo;máximo;1;E;E;1;;1;0;cubierto;photovoltaic
physical risk;physical risk;3;3;máximo;máximo;1;E;E;1;;0;1;HUECO;
pollution;pollution;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
power purchase agreement;power purchase agreement;3;3;máximo;máximo;1;E;E;1;;0;0;HUECO;
protected area;protected area;3;3;máximo;máximo;1;E;E;1;;0;0;HUECO;
recycling;recycling;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
reforestation;reforestation;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
refrigerant;refrigerant;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
renewable electricity;renewable electricity;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;electricity
renewable energy;renewable energy;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;renewable
residual emission;residual emission;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;emission
science based target;science based target;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
site remediation;site remediation;3;3;máximo;máximo;1;E;E;1;;0;0;HUECO;
smart grid;smart grid;3;3;máximo;máximo;1;E;E;1;;1;0;HUECO;
smart meter;smart meter;3;3;máximo;máximo;1;E;E;1;;1;0;HUECO;
soil contamination;soil contamination;3;3;máximo;máximo;1;E;E;1;;0;0;HUECO;
solar panel;solar panel;3;3;máximo;máximo;1;E;E;1;;1;0;cubierto;solar
sulfur dioxide emission;sulfur dioxide emission;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;emission
supply chain emission;supply chain emission;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
sustainable aviation fuel;sustainable aviation fuel;3;3;máximo;máximo;1;E;E;1;;1;0;cubierto;sustainable
sustainable mobility;sustainable mobility;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;sustainable
sustainable packaging;sustainable packaging;3;3;máximo;máximo;1;E;E;1;;1;0;cubierto;sustainable
taxonomy-aligned;taxonomy aligned;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
taxonomy-eligible;taxonomy eligible;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
tcfd;tcfd;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
transition risk;transition risk;3;3;máximo;máximo;1;E;E;1;;0;0;HUECO;
waste generated;waste generated;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;waste
waste management;waste management;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;waste
waste recycled;waste recycled;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;waste
wastewater;wastewater;3;3;máximo;máximo;1;E;E;1;;0;0;en vocabulario;
water consumption;water consumption;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;water
water discharge;water discharge;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;water
water footprint;water footprint;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;footprint
water stress;water stress;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;water
water withdrawal;water withdrawal;3;3;máximo;máximo;1;E;E;1;;0;0;cubierto;water
wind farm;wind farm;3;3;máximo;máximo;1;E;E;1;;1;0;en vocabulario;
anti-corruption;anti corruption;3;3;máximo;máximo;1;G;G;1;;0;0;cubierto;corruption
antitrust;antitrust;3;3;máximo;máximo;1;G;G;1;;0;0;en vocabulario;
audit committee;audit committee;3;3;máximo;máximo;1;G;G;1;;0;0;en vocabulario;
auditor independence;auditor independence;3;3;máximo;máximo;1;G;G;1;;0;0;HUECO;
board attendance;board attendance;3;3;máximo;máximo;1;G;G;1;;0;0;HUECO;
board committee;board committee;3;3;máximo;máximo;1;G;G;1;;0;0;HUECO;
board diversity;board diversity;3;3;máximo;máximo;1;G;G;1;;0;0;cubierto;diversity
board evaluation;board evaluation;3;3;máximo;máximo;1;G;G;1;;0;0;HUECO;
board of directors;board of director;3;3;máximo;máximo;1;G;G;1;;0;0;HUECO;
business ethics;business ethics;3;3;máximo;máximo;1;G;G;1;;0;0;en vocabulario;
business integrity;business integrity;3;3;máximo;máximo;1;G;G;1;;0;0;cubierto;integrity
code of conduct;code of conduct;3;3;máximo;máximo;1;G;G;1;;0;0;en vocabulario;
code of ethics;code of ethics;3;3;máximo;máximo;1;G;G;1;;0;0;en vocabulario;
compliance risk;compliance risk;3;3;máximo;máximo;1;G;G;1;;0;0;en vocabulario;
conflict of interest;conflict of interest;3;3;máximo;máximo;1;G;G;1;;0;0;en vocabulario;
corporate governance;corporate governance;3;3;máximo;máximo;1;G;G;1;;0;0;cubierto;governance
