termino;tipo;pilar;sectorial;ocurrencias;documentos;empresas;n_muestra;aciertos;precision;ic95_inf;ic95_sup;disparos_falsos_estimados;fp_indice;fp_financiero;fp_generico;fp_otro;decision_propuesta;notas_auditor
environ\w+;patron;E;0;73941;343;49;40;25;0.625;0.47;0.758;27728;4;1;10;0;revisar;entorno local | tabla GRI | tabla TCFD | mixed reality environment | encabezado | social and economic environment | economic environment en notas contables | texto garbled regimen fiscal | Economic Environment | regulatory environment | indice de contenidos | operate in any environment | entorno res
sustainab\w+;patron;TRANS;0;81897;343;49;40;27;0.675;0.52;0.799;26617;5;0;8;0;revisar;sustainable long-term value creation del codigo | sustainable strategic orientation | sustainable profitable growth | grow sustainably | sustainability of actions = durabilidad | sustainable distribution to shareholders | referencia cruzada a capitulo | sustainable differentiation | encabezado | ind
governance;termino;G;0;44562;342;49;40;23;0.575;0.422;0.715;18939;14;1;0;2;revisar;tabla de correspondencia | referencia en informe de auditoria | indice de contenidos | those charged with governance auditoria | encabezado | intro de capitulo | lista de apartados | encabezado de comite | URL | division Governance Risk & Compliance | encabezado numerado | referencia cruzada | tabla
remuneration;termino;G;0;59543;335;49;40;32;0.8;0.652;0.895;11909;6;2;0;0;mantener;referencia cruzada a capitulo 2 | referencia a Remuneration Report | remuneracion de aportaciones en especie | referencia a Compensation Report | referencia a Remuneration report | referencia a web | gastos de personal
sustainable;termino;TRANS;0;34621;343;49;40;28;0.7;0.546;0.819;10386;3;0;8;1;revisar;referencia cruzada | sustainable leadership | sustainable corporate governance and growth | sustainable long-term growth | cabecera de tabla | sustainable long-term strategy | encabezado y remision a web | sustainable results | nombre WBCSD | sustainable success del codigo | sustainable HR strategy 
risk management;termino;G;0;25793;341;49;40;25;0.625;0.47;0.758;9672;7;7;0;1;revisar;referencia cruzada | indice GRI | contabilidad de coberturas | nota de riesgo financiero | encabezado | tabla de correspondencia | tabla TCFD | biografia | riesgo de mercado | tesoreria | referencia a informe | boilerplate de auditoria | verificacion de precios | referencia en informe de auditoria
non-financial;termino;TRANS;0;13715;332;49;20;6;0.3;0.145;0.519;9600;8;6;0;0;retirar;taxonomy legal category undertakings | statutory auditor boilerplate | non-financial investee undertakings | non-financial risk means operational risk | assurance report title | cross-reference table | garbled heading | cross-reference | non-financial assets liabilities | auditor report boilerplate
sustainability;termino;TRANS;0;45432;342;49;40;32;0.8;0.652;0.895;9086;5;0;2;1;mantener;solvencia del banco | businesss sustainability = continuidad | biografia consejero otra empresa | tabla ESRS | referencia a informe externo | referencia a Sustainability Report | referencia a Sustainability report | referencia cruzada
climate;termino;E;0;44497;340;49;40;32;0.8;0.652;0.895;8899;6;0;2;0;mantener;tabla ESRS | climatizacion | tabla TCFD | economic climate | encabezado continued | encabezado | glosario
offset;termino;E;0;7971;335;49;12;2;0.167;0.047;0.448;6642;0;9;1;0;retirar;coberturas contables | compensacion de activos y pasivos | bases imponibles negativas | impuestos | netting IFRS | compensado en sentido macro | compensado en ventas | netting IFRS 7
water;termino;E;0;26656;322;49;40;31;0.775;0.625;0.877;5998;2;4;1;2;revisar;sector de mercado | politica contable de provisiones | land and water areas no amortizan | glosario | tabla de datapoints ESRS | concesiones hidroelectricas juridico | biografia | nombre de producto
audit committee;termino;G;0;12291;331;49;20;12;0.6;0.387;0.781;4916;1;3;0;4;revisar;director biography | auditor report boilerplate | abbreviations list
solar;termino;E;0;7118;268;49;12;4;0.333;0.138;0.609;4745;1;1;0;6;retirar;glosario sistema solar | litigio de seguros | sistema solar | lista de filiales | glosario | biografia nombre de empresa
ecosystem;termino;E;0;7317;302;49;12;5;0.417;0.193;0.68;4268;3;0;4;0;retirar;ecosistema de negocio | cabecera tabla taxonomia | ecosistema de innovacion | ecosistemas locales de negocio | ecosistema industrial
electricity;termino;E;0;16848;331;49;20;15;0.75;0.531;0.888;4212;0;1;3;1;revisar;power price outlook | customer sectors list | utility customer counts | director interests register company name | IFRS 16 PPA accounting
human right;termino;S;0;20747;330;49;20;16;0.8;0.584;0.919;4149;3;0;0;1;mantener;ESRS index | director bio Human Rights Watch | DPEF cross-reference table | indicator cross-reference
materiality;termino;TRANS;0;7076;328;49;12;5;0.417;0.193;0.68;4128;0;7;0;0;retirar;materialidad de riesgos | umbrales contables | consolidacion | control interno financiero | factores de riesgo | key audit matter | fiscal
fuel;termino;E;0;9890;316;49;12;7;0.583;0.32;0.807;4121;0;2;2;1;revisar;contexto macro crisis energetica | lista de filiales | compras de combustible en cuentas | recargos por combustible | subastas de suministro regulatorio
emission;termino;E;0;54420;339;49;40;37;0.925;0.801;0.974;4081;2;1;0;0;mantener;derechos de emision contabilidad | glosario | encabezado
stakeholder;termino;S;0;20349;338;49;20;16;0.8;0.584;0.919;4070;1;0;3;0;mantener;dealer distribution model | governance recommendations boilerplate | confidence of stakeholders | glossary entry
climate change;termino;E;0;20204;338;49;20;16;0.8;0.584;0.919;4041;4;0;0;0;mantener;ESRS cross-reference | taxonomy table headers | section heading | ESRS datapoint table
fraud;termino;G;0;6651;337;49;12;5;0.417;0.193;0.68;3880;0;6;0;1;retirar;informe de auditoria | Serious Fraud Office
internal control;termino;G;0;18651;341;49;20;16;0.8;0.584;0.919;3730;0;4;0;0;mantener;auditor report ESEF boilerplate | audit fees note | auditor report boilerplate
waste;termino;E;0;17805;325;49;20;16;0.8;0.584;0.919;3561;1;0;3;0;mantener;coverage waste in advertising | GRI index
packaging;termino;E;0;6829;249;46;12;6;0.5;0.254;0.746;3414;1;0;4;1;revisar;uso final del aluminio | encapsulado de chips | modelo de negocio | nombre de filial | riesgo de caida de bultos | indice GRI
gri;termino;TRANS;0;5733;279;49;12;5;0.417;0.193;0.68;3344;7;0;0;0;retirar;nota al pie de tabla | glosario | sumario | cabecera de tabla | indice de contenidos GRI
diversity;termino;S;0;15998;341;49;20;16;0.8;0.584;0.919;3200;3;0;1;0;mantener;glossary entry | section heading | business scale and diversity
offset\w+;patron;E;0;3361;325;49;12;1;0.083;0.015;0.354;3081;0;10;1;0;retirar;contrapartida contable | coberturas | compensacion IAS 32 | compensar inflacion salarial | netting derivados | netting | impuestos diferidos compensables | indice de notas contables
taxonomy aligned;termino;TRANS;0;5279;141;47;12;5;0.417;0.193;0.68;3079;7;0;0;0;retirar;plantilla de tabla | cabecera de tabla | leyenda de tabla | titulo de plantilla
footprint;termino;E;0;8666;325;49;12;8;0.667;0.391;0.862;2889;0;0;4;0;revisar;presencia internacional | huella geografica | presencia global | huella industrial
circular;termino;E;0;8404;297;48;12;8;0.667;0.391;0.862;2801;3;0;0;1;revisar;Circular Assonime documento legal | cabecera tabla taxonomia
renewable;termino;E;0;16996;327;49;20;17;0.85;0.64;0.948;2549;0;1;1;1;mantener;Siemens Gamesa Renewable Energy in audit | market demand context | cash flow acquisitions
