termino;tipo;pilar;sectorial;ocurrencias;documentos;empresas;n_muestra;aciertos;precision;ic95_inf;ic95_sup;disparos_falsos_estimados;fp_indice;fp_financiero;fp_generico;fp_otro;decision_propuesta;notas_auditor
environmental\w*;patron;E;0;46144;342;49;6;5;0.833;0.436;0.97;7691;1;0;0;0;mantener;tabla de correspondencia Ley 11/2018
non-financial statement;termino;TRANS;0;1816;189;39;6;0;0.0;0.0;0.39;1816;1;2;1;2;retirar;nota al pie sobre marco de reporte | informe de auditoria | texto legal del reglamento | obligacion legal de reporte | referencia cruzada
non-financial information;termino;TRANS;0;1970;246;45;6;1;0.167;0.03;0.564;1642;2;1;2;0;retirar;informe de verificacion | metadatos del informe | nombre de informe previo en nota | referencia cruzada
environmentally;patron;E;0;3762;300;49;6;4;0.667;0.3;0.903;1254;1;0;0;1;revisar;texto de meta ODS citado | cabecera de plantilla taxonomia sin dato
non-financial performance;termino;TRANS;0;1160;187;36;6;2;0.333;0.097;0.7;773;3;1;0;0;revisar;tabla de correspondencia | informe de verificacion | nombre de declaracion en evaluacion del consejo | glosario
people with disabilities;termino;S;0;1365;191;40;6;4;0.667;0.3;0.903;455;2;0;0;0;revisar;tabla de correspondencia
materiality analysis;termino;TRANS;0;990;200;42;6;4;0.667;0.3;0.903;330;1;1;0;0;revisar;referencia cruzada a web | informe de verificacion
environmental footprint;termino;E;0;1962;239;44;6;5;0.833;0.436;0.97;327;1;0;0;0;mantener;indice GRI
fuel consumption;termino;E;0;951;155;43;6;4;0.667;0.3;0.903;317;1;0;0;1;revisar;aviso legal repetido | glosario
nonfinancial statement;termino;TRANS;0;333;70;20;6;1;0.167;0.03;0.564;278;2;2;1;0;retirar;referencia cruzada | referencia cruzada a paginas | informe de auditoria | metadatos del informe | informe de verificacion
non-financial reporting;termino;TRANS;0;526;169;46;6;4;0.667;0.3;0.903;175;0;0;0;2;revisar;nombre de directiva
enterprise risk management;termino;G;0;778;176;33;6;5;0.833;0.436;0.97;130;0;0;0;1;mantener;caso de cliente
persons with disabilities;termino;S;0;238;95;38;6;3;0.5;0.188;0.812;119;1;0;0;2;revisar;texto de meta ODS citado | indice ESRS
nonfinancial information;termino;TRANS;0;123;74;26;6;2;0.333;0.097;0.7;82;0;1;2;1;revisar;metadatos del informe | honorarios de auditoria | texto legal de directiva
alternative fuel;termino;E;0;192;85;26;6;4;0.667;0.3;0.903;64;0;0;1;1;revisar;nombre de reglamento | seguridad energetica sin contenido ESG
employees with disabilities;termino;S;0;344;136;32;6;5;0.833;0.436;0.97;57;0;0;0;1;mantener;biografia de consejera
natural ecosystem;termino;E;0;292;80;29;6;5;0.833;0.436;0.97;49;1;0;0;0;mantener;glosario
solar farm;termino;E;0;135;35;11;6;4;0.667;0.3;0.903;45;0;2;0;0;revisar;contabilidad de PPA como derivados | prestamo en notas financieras
anti-fraud;termino;G;0;259;87;22;6;5;0.833;0.436;0.97;43;0;0;1;0;mantener;fraude a clientes operativo
carbon offset;termino;E;0;239;79;27;6;5;0.833;0.436;0.97;40;1;0;0;0;mantener;glosario
climate risk management;termino;G;0;71;36;12;6;3;0.5;0.188;0.812;36;2;0;0;1;revisar;nombre de guia del BCE | encabezado de seccion | referencia cruzada
fraud prevention;termino;G;0;177;84;23;6;5;0.833;0.436;0.97;29;0;0;1;0;mantener;fraude a clientes y ciberseguridad
