termino;tipo;pilar;sectorial;colocacion;origen;nota
agroforestry;termino;E;0;0;auditoria;
air pollutant;termino;E;0;0;auditoria;
air quality;termino;E;0;0;auditoria;
animal welfare;termino;E;0;0;auditoria;
biodiversity;termino;E;0;0;bloque;
biofuel;termino;E;0;0;bloque;
biomass;termino;E;0;0;bloque;
carbon;termino;E;0;0;bloque;
carbon neutrality;termino;E;0;0;bloque;
chemical management;termino;E;0;0;bloque;
circular;termino;E;0;0;manual;
circular economy;termino;E;0;0;manual;
circulari\w+;patron;E;0;0;manual;
circularity;termino;E;0;0;manual;
clean energy;termino;E;0;0;auditoria;
climate;termino;E;0;0;bloque;
climate change;termino;E;0;0;bloque;
co2;termino;E;0;0;bloque;
co2e;termino;E;0;0;bloque;
co2e?;patron;E;0;0;manual;
coal;termino;E;0;0;bloque;
compost;termino;E;0;0;auditoria;
cover crop;termino;E;1;0;auditoria;
decarboni\w+;patron;E;0;0;manual;
decarbonisation;termino;E;0;0;manual;
decarbonise;termino;E;0;0;manual;
decarbonization;termino;E;0;0;manual;
decarbonize;termino;E;0;0;manual;
deforestation;termino;E;0;0;bloque;
drought;termino;E;0;0;bloque;
ecodesign;termino;E;1;0;auditoria;
ecosystem;termino;E;0;0;bloque;
effluent;termino;E;0;0;auditoria;
electricity;termino;E;0;0;bloque;
electrif\w+;patron;E;0;0;manual;
electrification;termino;E;0;0;bloque;
emission;termino;E;0;0;bloque;
energy consumption;termino;E;0;0;bloque;
energy efficiency;termino;E;0;0;bloque;
energy management;termino;E;0;0;auditoria;
energy mix;termino;E;0;0;bloque;
energy storage;termino;E;1;0;auditoria;
energy transition;termino;E;0;0;bloque;
energy\s+(?:consumption|efficiency|transition|mix|intensity|storage);patron;E;0;0;manual;
environ\w+;patron;E;0;0;manual;
flood;termino;E;0;0;bloque;
flooding;termino;E;0;0;bloque;
footprint;termino;E;0;0;bloque;
fuel;termino;E;0;0;bloque;
geothermal;termino;E;0;0;auditoria;
ghg;termino;E;0;0;bloque;
global warming;termino;E;0;0;auditoria;
green bond;termino;E;0;0;bloque;"REVISAR: venia de ""marcos de reporting"" pero es especifico de E"
green energy;termino;E;0;0;auditoria;
green hydrogen;termino;E;0;0;bloque;
