termino;tipo;pilar;sectorial;origen;precision;ocurrencias;aviso
agroforestry;termino;E;0;auditoria;1.0;153;
air pollutant;termino;E;0;auditoria;1.0;116;
air quality;termino;E;0;auditoria;0.833;449;
animal welfare;termino;E;0;auditoria;0.5;1291;
biodiversity;termino;E;0;bloque;0.8;11748;
biofuel;termino;E;0;bloque;1.0;1221;
biomass;termino;E;0;bloque;0.833;803;
carbon;termino;E;0;bloque;0.95;23999;
carbon neutrality;termino;E;0;bloque;0.833;1563;
chemical management;termino;E;0;bloque;1.0;84;
circular economy;termino;E;0;manual;0.75;5777;
circulari\w+;patron;E;0;manual;0.667;1580;
circularity;termino;E;0;manual;0.5;1559;
clean energy;termino;E;0;auditoria;0.5;488;
climate;termino;E;0;bloque;0.8;44497;
climate change;termino;E;0;bloque;0.8;20204;
co2;termino;E;0;bloque;0.95;13336;
co2e;termino;E;0;bloque;0.917;3401;
co2e?;patron;E;0;manual;1.0;19825;
coal;termino;E;0;bloque;0.917;2424;
compost;termino;E;0;auditoria;1.0;42;
cover crop;termino;E;1;auditoria;1.0;32;
decarboni\w+;patron;E;0;manual;0.917;6400;
decarbonisation;termino;E;0;manual;0.833;1339;
decarbonise;termino;E;0;manual;1.0;122;
decarbonization;termino;E;0;manual;1.0;3614;
decarbonize;termino;E;0;manual;1.0;502;
deforestation;termino;E;0;bloque;0.833;1547;
drought;termino;E;0;bloque;1.0;514;
ecodesign;termino;E;1;auditoria;1.0;349;
ecosystem service;termino;E;0;v3: sustituye a ecosystem;1.0;383;colocacion nueva auditada
ecosystem restoration;termino;E;0;v3: sustituye a ecosystem;1.0;34;colocacion nueva auditada
natural ecosystem;termino;E;0;v3: sustituye a ecosystem;0.833;292;colocacion nueva auditada
effluent;termino;E;0;auditoria;0.833;442;
electricity;termino;E;0;bloque;0.75;16848;
electrif\w+;patron;E;0;manual;0.833;3064;
electrification;termino;E;0;bloque;1.0;2195;
emission;termino;E;0;bloque;0.925;54420;
energy consumption;termino;E;0;bloque;0.833;5289;
energy efficiency;termino;E;0;bloque;1.0;4221;
energy mix;termino;E;0;bloque;0.667;585;
energy storage;termino;E;1;auditoria;0.5;695;
energy transition;termino;E;0;bloque;1.0;3205;
energy\s+(?:consumption|efficiency|transition|mix|intensity|storage);patron;E;0;manual;1.0;14228;
environmental\w*;patron;E;0;v3: sustituye a environ\w+;0.833;46144;colocacion nueva auditada
environmentally;patron;E;0;v3: sustituye a environ\w+;0.667;3762;colocacion nueva a revisar (p=0.667)
flood;termino;E;0;bloque;0.5;878;
flooding;termino;E;0;bloque;1.0;447;
carbon footprint;termino;E;0;v3: sustituye a footprint;1.0;3425;colocacion nueva auditada
environmental footprint;termino;E;0;v3: sustituye a footprint;0.833;1962;colocacion nueva auditada
water footprint;termino;E;0;v3: sustituye a footprint;1.0;219;colocacion nueva auditada
ecological footprint;termino;E;0;v3: sustituye a footprint;0.833;70;colocacion nueva auditada
fossil fuel;termino;E;0;v3: sustituye a fuel;1.0;1409;colocacion nueva auditada
fuel consumption;termino;E;0;v3: sustituye a fuel;0.667;951;colocacion nueva a revisar (p=0.667)
alternative fuel;termino;E;0;v3: sustituye a fuel;0.667;192;colocacion nueva a revisar (p=0.667)
sustainable aviation fuel;termino;E;0;v3: sustituye a fuel;1.0;339;colocacion nueva auditada
low-carbon fuel;termino;E;0;v3: sustituye a fuel;0.667;53;colocacion nueva a revisar (p=0.667)
geothermal;termino;E;0;auditoria;0.5;296;
ghg;termino;E;0;bloque;0.9;10699;
global warming;termino;E;0;auditoria;0.667;1120;
green bond;termino;E;0;bloque;1.0;868;
green energy;termino;E;0;auditoria;0.5;303;
green hydrogen;termino;E;0;bloque;1.0;399;
green investment;termino;E;0;bloque;0.833;131;
greenhouse;termino;E;0;bloque;0.917;7079;
habitat;termino;E;0;auditoria;0.833;907;
hazardous;termino;E;0;bloque;0.833;2893;
heat wave;termino;E;0;bloque;1.0;223;
hydroelectric;termino;E;0;auditoria;0.5;705;
hydrogen;termino;E;0;bloque;0.5;4603;p=0,50: plantilla legal de taxonomia nuclear y gas
hydropower;termino;E;0;auditoria;1.0;110;
iso 14001;termino;E;0;auditoria;0.833;967;
iso 50001;termino;E;0;auditoria;0.833;277;
iso\s*14001\b;patron;E;0;manual;1.0;1262;
iso\s*50001\b;patron;E;0;manual;1.0;325;
land use;termino;E;0;auditoria;0.667;609;
landfill;termino;E;0;auditoria;1.0;1036;
lca;termino;E;0;auditoria;0.833;399;
leed;termino;E;0;bloque;1.0;447;
life cycle assessment;termino;E;0;auditoria;1.0;190;
low carbon;termino;E;0;bloque;1.0;4857;
methane;termino;E;0;bloque;0.833;1501;
microfiber;termino;E;1;auditoria;0.833;77;
microplastic;termino;E;0;auditoria;0.833;129;
natural capital;termino;E;0;auditoria;1.0;562;
natural disaster;termino;E;0;bloque;0.833;760;
nature-based solution;termino;E;0;bloque;1.0;202;
net zero;termino;E;0;bloque;1.0;4381;
nox;termino;E;0;auditoria;0.833;527;
ocean;termino;E;0;auditoria;0.833;1033;
