termino;tipo;pilar;sectorial;origen;nota
absenteeism;termino;S;0;auditoria;
accessibility;termino;S;0;auditoria;
affordability;termino;S;0;auditoria;
agroforestry;termino;E;0;auditoria;
air pollutant;termino;E;0;auditoria;
air quality;termino;E;0;auditoria;
animal welfare;termino;E;0;auditoria;
anti-money laundering;termino;G;0;auditoria;
antitrust;termino;G;0;auditoria;
apprentice;termino;S;0;auditoria;
article\s*[689]\b;patron;TRANS;0;manual;
audit committee;termino;G;0;auditoria;
b corp;termino;G;1;auditoria;
better cotton;termino;S;1;auditoria;
biodiversity;termino;E;0;bloque;
biofuel;termino;E;0;bloque;
biomass;termino;E;0;bloque;
board oversight;termino;G;1;auditoria;
bribery;termino;G;0;bloque;
business ethics;termino;G;0;auditoria;
carbon;termino;E;0;bloque;
carbon neutrality;termino;E;0;bloque;
cdp;termino;TRANS;0;bloque;
chemical management;termino;E;0;bloque;
child labor;termino;S;0;bloque;
circular;termino;E;0;manual;
circular economy;termino;E;0;manual;
circulari\w+;patron;E;0;manual;
circularity;termino;E;0;manual;
clean energy;termino;E;0;auditoria;
climate;termino;E;0;bloque;
climate change;termino;E;0;bloque;
co2;termino;E;0;bloque;
co2e;termino;E;0;bloque;
co2e?;patron;E;0;manual;
coal;termino;E;0;bloque;
code of conduct;termino;G;0;auditoria;
code of ethics;termino;G;0;auditoria;
collective bargaining;termino;S;0;auditoria;
community engagement;termino;S;0;bloque;
community relations;termino;S;1;auditoria;
compliance and ethics;termino;G;0;manual;
compliance committee;termino;G;0;manual;
compliance department;termino;G;0;manual;
compliance function;termino;G;0;manual;
compliance management system;termino;G;0;manual;
compliance officer;termino;G;0;manual;
compliance program;termino;G;0;manual;
compliance programme;termino;G;0;manual;
compliance risk;termino;G;0;manual;
compliance training;termino;G;0;manual;
compliance violation;termino;G;0;manual;
compost;termino;E;0;auditoria;
conflict of interest;termino;G;0;auditoria;
conflicts of interest;termino;G;0;auditoria;
consumer protection;termino;S;0;auditoria;
cop 28;termino;G;1;auditoria;
cop28;termino;G;1;auditoria;
corruption;termino;G;0;bloque;
cover crop;termino;E;1;auditoria;
csr;termino;TRANS;0;bloque;
csrd;termino;TRANS;0;bloque;
customer privacy;termino;S;0;auditoria;
customer satisfaction;termino;S;0;auditoria;
cybersecuri\w+;patron;G;0;manual;
cybersecurity;termino;G;0;bloque;
data breach;termino;G;0;bloque;
data privacy;termino;G;0;bloque;
data protection;termino;G;0;bloque;
data security;termino;G;0;bloque;
decarboni\w+;patron;E;0;manual;
decarbonisation;termino;E;0;manual;
decarbonise;termino;E;0;manual;
decarbonization;termino;E;0;manual;
decarbonize;termino;E;0;manual;
deforestation;termino;E;0;bloque;
dei;termino;S;0;auditoria;
disabilit\w+;patron;S;0;manual;
disability;termino;S;0;manual;
discrimination;termino;S;0;bloque;
diversity;termino;S;0;bloque;
donation;termino;S;0;auditoria;
double materiality;termino;TRANS;0;bloque;
drought;termino;E;0;bloque;
due diligence;termino;G;0;bloque;
duty of vigilance;termino;G;0;auditoria;
ecodesign;termino;E;1;auditoria;
ecosystem;termino;E;0;bloque;
ecovadis;termino;TRANS;0;bloque;
effluent;termino;E;0;auditoria;
electricity;termino;E;0;bloque;
electrif\w+;patron;E;0;manual;
electrification;termino;E;0;bloque;
emission;termino;E;0;bloque;
employee engagement;termino;S;0;auditoria;
employee wellbeing;termino;S;0;bloque;
employee\s+well\w*;patron;S;0;manual;
energy consumption;termino;E;0;bloque;
energy efficiency;termino;E;0;bloque;
energy management;termino;E;0;auditoria;
energy mix;termino;E;0;bloque;
energy storage;termino;E;1;auditoria;
energy transition;termino;E;0;bloque;
energy\s+(?:consumption|efficiency|transition|mix|intensity|storage);patron;E;0;manual;
environ\w+;patron;E;0;manual;
equal opportunity;termino;S;0;manual;
equal pay;termino;S;0;auditoria;
equal\s+opportunit\w+;patron;S;0;manual;
equality;termino;S;0;bloque;
ergonomic;termino;S;0;auditoria;
ergonomic\w*;patron;S;0;manual;
esg;termino;TRANS;0;bloque;
esrs;termino;TRANS;0;bloque;
ethical;termino;G;0;auditoria;
ethics and compliance;termino;G;0;manual;
eu taxonomy;termino;TRANS;0;bloque;REVISAR: la Taxonomia UE es clasificacion ambiental, pero tambien marco de reporte
executive compensation;termino;G;1;auditoria;
fair compensation;termino;S;0;bloque;
fair competition;termino;G;0;bloque;
fair condition;termino;S;0;bloque;
fair labor;termino;S;0;bloque;
fair trade;termino;S;0;auditoria;
fair wage;termino;S;0;bloque;
fairtrade;termino;S;1;auditoria;
fatalit\w+;patron;S;0;manual;
fatality;termino;S;0;manual;
female representation;termino;S;0;auditoria;
first aid;termino;S;0;auditoria;
flood;termino;E;0;bloque;
flooding;termino;E;0;bloque;
food safety;termino;S;1;auditoria;
footprint;termino;E;0;bloque;
forced labor;termino;S;0;bloque;
fraud;termino;G;0;auditoria;
freedom of association;termino;S;0;auditoria;
ftse4good;termino;TRANS;0;bloque;
fuel;termino;E;0;bloque;
gdpr;termino;G;0;bloque;"REVISAR: venia de ""marcos de reporting"" pero es especifico de G"
gender;termino;S;0;bloque;
geothermal;termino;E;0;auditoria;
ghg;termino;E;0;bloque;
global reporting initiative;termino;TRANS;0;bloque;
global warming;termino;E;0;auditoria;
governance;termino;G;0;bloque;
green bond;termino;E;0;bloque;"REVISAR: venia de ""marcos de reporting"" pero es especifico de E"
green energy;termino;E;0;auditoria;
green hydrogen;termino;E;0;bloque;
green investment;termino;E;0;bloque;"REVISAR: venia de ""marcos de reporting"" pero es especifico de E"
greenhouse;termino;E;0;bloque;
gri;termino;TRANS;0;bloque;
grievance;termino;S;0;auditoria;
habitat;termino;E;0;auditoria;
harassment;termino;S;0;bloque;
hazardous;termino;E;0;bloque;
health and safety;termino;S;0;bloque;
heat wave;termino;E;0;bloque;
