bloque;termino;n_muestras;ocurrencias
1;sustainab\w+;40;81897
1;environ\w+;40;73941
1;remuneration;40;59543
1;emission;40;54420
1;sustainability;40;45432
1;governance;40;44562
1;climate;40;44497
1;sustainable;40;34621
1;water;40;26656
1;risk management;40;25793
2;carbon;20;23999
2;human right;20;20747
2;stakeholder;20;20349
2;climate change;20;20204
2;co2e?;20;19825
2;internal control;20;18651
2;waste;20;17805
2;renewable;20;16996
2;esg;20;16984
2;electricity;20;16848
2;diversity;20;15998
2;scope\s*[123]\b;20;15064
2;energy\s+(?:consumption|efficiency|transition|mix|intensity|storage);20;14228
2;non-financial;20;13715
2;co2;20;13336
2;recycl\w+;20;12838
2;audit committee;20;12291
2;biodiversity;20;11748
2;ghg;20;10699
2;social\s+(?:responsibility|impact|policy|pillar|report|performance|value|welfare|audit|capital|sustainability|license|licence|dialogue|protection|partner|standard|norm|commitment|compliance);20;10053
3;gender;12;9961
3;fuel;12;9890
3;corruption;12;9812
3;inclusion;12;9805
3;health and safety;12;9155
3;footprint;12;8666
3;circular;12;8404
3;csr;12;8223
3;independent director;12;8221
3;offset;12;7971
3;ecosystem;12;7317
3;solar;12;7118
3;greenhouse;12;7079
3;materiality;12;7076
3;packaging;12;6829
3;transparency;12;6717
3;fraud;12;6651
3;code of conduct;12;6585
3;disabilit\w+;12;6482
3;esrs;12;6440
3;decarboni\w+;12;6400
3;integrity;12;6376
3;water\s+(?:usage|consumption|stewardship|management|withdrawal|scarcity|stress);12;6276
3;ethical;12;5805
3;circular economy;12;5777
3;internal audit;12;5753
3;gri;12;5733
3;inclusiv\w+;12;5715
3;inclusive;12;5381
3;energy consumption;12;5289
3;taxonomy aligned;12;5279
3;pollution;12;5200
3;plastic;12;5190
3;recycling;12;5144
4;risk appetite;12;4936
4;low carbon;12;4857
4;hydrogen;12;4603
4;data protection;12;4517
4;sdg;12;4500
4;net zero;12;4381
4;cybersecuri\w+;12;4308
4;cybersecurity;12;4297
4;energy efficiency;12;4221
4;due diligence;12;4124
4;taxonomy eligible;12;4111
4;disability;12;3825
4;sanction;12;3772
4;equality;12;3619
4;decarbonization;12;3614
4;whistleblow\w+;12;3481
4;co2e;12;3401
4;offset\w+;12;3361
4;discrimination;12;3319
4;eu taxonomy;12;3300
4;social responsibility;12;3279
4;energy transition;12;3205
4;electrif\w+;12;3064
4;injur\w+;12;2918
4;hazardous;12;2893
4;works council;12;2834
4;non-compliance;12;2807
4;conflicts of interest;12;2742
4;code of ethics;12;2713
4;local\s+communit\w+;12;2676
4;related party;12;2590
4;cdp;12;2586
4;compliance committee;12;2494
4;coal;12;2424
5;bribery;12;2290
5;whistleblowing;12;2285
5;marine;6;2273
5;donation;6;2211
5;electrification;6;2195
5;collective bargaining;6;2178
5;employee engagement;6;1912
5;compliance risk;6;1880
5;harassment;6;1838
5;compliance officer;6;1818
5;trade union;6;1746
5;social dialogue;6;1688
5;nonfinancial;6;1686
5;article\s*[689]\b;6;1671
5;occupational health;6;1670
5;paris\s+agreement;6;1642
5;tcfd;6;1638
5;sbti;6;1633
5;information security;6;1631
5;vigilance plan;6;1623
5;data privacy;6;1619
5;circulari\w+;6;1580
5;species;6;1580
5;wastewater;6;1579
5;ilo;6;1567
5;material topic;6;1565
5;carbon neutrality;6;1563
5;circularity;6;1559
5;deforestation;6;1547
5;methane;6;1501
5;conflict of interest;6;1498
5;equal\s+opportunit\w+;6;1496
5;social impact;6;1439
5;double materiality;6;1437
5;training program;6;1435
5;compliance program;6;1432
5;money laundering;6;1430
5;csrd;6;1427
5;transition plan;6;1407
5;decarbonisation;6;1339
5;injury;6;1328
5;nutrition;6;1326
5;animal welfare;6;1291
5;iso\s*14001\b;6;1262
5;energy management;6;1256
5;customer satisfaction;6;1245
5;antitrust;6;1240
5;science based target;6;1225
5;biofuel;6;1221
5;photovoltaic;6;1213
5;whistleblower;6;1184
5;business ethics;6;1161
5;global warming;6;1120
5;succession planning;6;1105
5;freedom of association;6;1075
5;landfill;6;1036
5;ocean;6;1033
5;regenerative agriculture;6;1017
5;ethics and compliance;6;1017
5;grievance;6;1011
5;dei;6;972
5;wellbeing;6;971
5;iso 14001;6;967
5;duty of vigilance;6;966
5;gdpr;6;930
6;wind farm;6;928
6;compliance management system;6;920
6;accessibility;6;909
6;product safety;6;909
6;habitat;6;907
6;volunteer;6;904
6;compliance function;6;895
6;forced labor;6;893
6;child labor;6;890
6;living wage;6;888
6;flood;6;878
6;green bond;6;868
6;mental health;6;856
6;speak up;6;841
6;responsible business;6;836
6;social risk;6;831
6;biomass;6;803
6;recyclable;6;796
6;work-life balance;6;790
6;scenario analysis;6;768
6;compliance department;6;766
6;training hour;6;766
6;regulatory compliance;6;761
6;natural disaster;6;760
6;fatalit\w+;6;750
6;philanthrop\w+;6;746
6;recycle;6;742
6;human capital;6;726
6;sasb;6;720
6;sfdr;6;720
6;absenteeism;6;718
6;hydroelectric;6;705
6;equal pay;6;700
6;energy storage;6;695
6;oecd guidelines;6;685
6;ecovadis;6;679
6;indigenous;6;665
6;social protection;6;635
6;responsible investment;6;626
6;ergonomic\w*;6;624
6;land use;6;609
6;ergonomic;6;608
6;social issue;6;605
6;un global compact;6;596
6;responsible sourcing;6;594
6;iso\s*45001\b;6;593
6;energy mix;6;585
6;anti-money laundering;6;582
6;product quality;6;581
6;global reporting initiative;6;570
6;maternity;6;565
6;natural capital;6;562
6;lobbying;6;556
6;nox;6;527
6;drought;6;514
6;tax policy;6;508
6;modern slavery;6;508
6;decarbonize;6;502
6;equal opportunity;6;499
6;refrigerant;6;496
6;upskilling;6;494
6;clean energy;6;488
6;social audit;6;481
6;iso 45001;6;476
6;data security;6;472
6;consumer protection;6;471
6;sf6;6;469
7;wind power;6;464
7;zdhc;6;457
7;supply chain management;6;454
7;philanthropy;6;454
7;apprentice;6;452
7;air quality;6;449
7;flooding;6;447
7;leed;6;447
7;effluent;6;442
7;food safety;6;442
7;compliance programme;6;430
7;insider trading;6;429
7;road safety;6;415
7;talent development;6;400
7;green hydrogen;6;399
7;lca;6;399
7;compliance training;6;396
7;ungp;6;396
7;social performance;6;385
7;social standard;6;361
7;tax strategy;6;354
7;pay equity;6;354
7;ecodesign;6;349
7;tax compliance;6;333
7;say on pay;6;331
7;social enterprise;6;331
7;resource efficiency;6;330
7;social inclusion;6;327
7;iso\s*50001\b;6;325
7;proxy advisor;6;325
7;training and development;6;315
7;sustainalytics;6;314
7;reforestation;6;309
7;sapin;6;308
7;minimum wage;6;307
7;social commitment;6;305
7;green energy;6;303
7;geothermal;6;296
7;ftse4good;6;296
7;wetland;6;293
7;responsible marketing;6;292
7;human trafficking;6;289
7;just\s+transition;6;283
7;iso 50001;6;277
7;local community;6;272
7;executive compensation;6;264
7;labor right;6;260
7;employee\s+well\w*;6;247
7;tonne\w*\s+(?:co2|carbon);6;245
7;female representation;6;244
7;taxonomy alignment;6;244
7;tnfd;6;243
7;compliance violation;6;242
7;community engagement;6;241
7;social partner;6;241
7;affordability;6;238
