termino;n;veredicto;categoria;nota
sustainab\w+;1;1;ok;
sustainab\w+;2;1;ok;
sustainab\w+;3;0;generico;sustainable long-term value creation del codigo
sustainab\w+;4;1;ok;
sustainab\w+;5;1;ok;
sustainab\w+;6;0;generico;sustainable strategic orientation
sustainab\w+;7;1;ok;
sustainab\w+;8;1;ok;
sustainab\w+;9;1;ok;
sustainab\w+;10;1;ok;
sustainab\w+;11;1;ok;
sustainab\w+;12;0;generico;sustainable profitable growth
sustainab\w+;13;1;ok;
sustainab\w+;14;0;generico;grow sustainably
sustainab\w+;15;1;ok;
sustainab\w+;16;1;ok;
sustainab\w+;17;1;ok;
sustainab\w+;18;0;generico;sustainability of actions = durabilidad
sustainab\w+;19;0;generico;sustainable distribution to shareholders
sustainab\w+;20;1;ok;
sustainab\w+;21;1;ok;
sustainab\w+;22;1;ok;
sustainab\w+;23;1;ok;
sustainab\w+;24;0;indice;referencia cruzada a capitulo
sustainab\w+;25;1;ok;
sustainab\w+;26;1;ok;
sustainab\w+;27;0;generico;sustainable differentiation
sustainab\w+;28;0;indice;encabezado
sustainab\w+;29;1;ok;
sustainab\w+;30;1;ok;tabla GAR
sustainab\w+;31;0;indice;indice de contenidos
sustainab\w+;32;1;ok;
sustainab\w+;33;1;ok;
sustainab\w+;34;0;indice;encabezado de seccion
sustainab\w+;35;0;indice;referencia a Sustainability Report
sustainab\w+;36;1;ok;
sustainab\w+;37;0;generico;sustainable business partner
sustainab\w+;38;1;ok;
sustainab\w+;39;1;ok;
sustainab\w+;40;1;ok;
environ\w+;1;1;ok;
environ\w+;2;0;generico;entorno local
environ\w+;3;0;indice;tabla GRI
environ\w+;4;0;indice;tabla TCFD
environ\w+;5;1;ok;
environ\w+;6;1;ok;
environ\w+;7;1;ok;
environ\w+;8;0;generico;mixed reality environment
environ\w+;9;1;ok;
environ\w+;10;1;ok;
environ\w+;11;1;ok;
environ\w+;12;1;ok;
environ\w+;13;1;ok;
environ\w+;14;0;indice;encabezado
environ\w+;15;0;generico;social and economic environment
environ\w+;16;1;ok;
environ\w+;17;0;financiero;economic environment en notas contables
environ\w+;18;0;generico;texto garbled regimen fiscal
environ\w+;19;0;generico;Economic Environment
environ\w+;20;0;generico;regulatory environment
environ\w+;21;1;ok;
environ\w+;22;0;generico;regulatory environment
environ\w+;23;0;indice;indice de contenidos
environ\w+;24;1;ok;
environ\w+;25;0;generico;operate in any environment
environ\w+;26;1;ok;
environ\w+;27;1;ok;
environ\w+;28;1;ok;
environ\w+;29;1;ok;
environ\w+;30;1;ok;
environ\w+;31;1;ok;
environ\w+;32;1;ok;
environ\w+;33;1;ok;
environ\w+;34;0;generico;entorno residencial
environ\w+;35;0;generico;macro-economic environment
environ\w+;36;1;ok;inclusive working environment
environ\w+;37;1;ok;
environ\w+;38;1;ok;
environ\w+;39;1;ok;
environ\w+;40;1;ok;
remuneration;1;1;ok;
remuneration;2;1;ok;
remuneration;3;1;ok;
remuneration;4;1;ok;
remuneration;5;1;ok;
remuneration;6;1;ok;
remuneration;7;1;ok;
remuneration;8;1;ok;
remuneration;9;0;indice;referencia cruzada a capitulo 2
remuneration;10;0;indice;referencia a Remuneration Report
remuneration;11;0;financiero;remuneracion de aportaciones en especie
remuneration;12;1;ok;
remuneration;13;1;ok;
remuneration;14;1;ok;tabla retributiva
remuneration;15;1;ok;
remuneration;16;1;ok;
remuneration;17;1;ok;
