bloque;termino;n_muestras;ocurrencias
1;board of directors;6;32446
1;supervisory board;6;32230
1;executive committee;6;5561
1;management board;6;3555
1;risk committee;6;3547
1;well-being;6;3005
1;personal data;6;2702
1;working condition;6;2638
1;external auditor;6;2481
1;employee representative;6;2116
1;long-term incentive;6;2044
1;reuse;6;1943
1;hse;6;1889
1;nomination committee;6;1882
1;electric vehicle;6;1869
1;physical risk;6;1802
1;traceability;6;1694
1;transition risk;6;1626
1;natural resource;6;1557
1;board committee;6;1544
1;voting right;6;1536
1;limited assurance;6;1273
1;long-term incentive plan;6;1006
1;working hours;6;944
1;palm oil;6;878
1;pollutant;6;876
1;export control;6;856
1;general meeting of shareholders;6;843
1;corporate responsibility;6;704
1;non-audit service;6;663
1;competition law;6;636
1;flaring;6;612
1;eco-design;6;594
1;offshore wind;6;589
1;extreme weather event;6;532
1;protected area;6;526
1;malus;6;518
1;energy saving;6;473
1;groundwater;6;463
1;integrated report;6;458
1;power purchase agreement;6;448
1;short-term incentive;6;442
1;pay ratio;6;426
1;conflict mineral;6;389
1;women in management;6;378
1;access to energy;6;368
1;skills development;6;351
1;compliance system;6;346
1;un guiding principles;6;341
1;safety at work;6;333
1;employee commuting;6;313
1;charging point;6;303
1;parental leave;6;302
1;employee share ownership;6;297
1;consumer health;6;286
1;employee training;6;275
1;vehicle safety;6;261
1;smart grid;6;258
1;vulnerable group;6;245
1;external assurance;6;237
1;psychosocial risk;6;229
1;green deal;6;228
1;three lines of defence;6;215
1;oil spill;6;212
1;product stewardship;6;210
1;board composition;6;210
1;re100;6;208
2;breeam;6;201
2;supplier audit;6;185
2;women in management position;6;184
2;access to healthcare;6;182
2;vulnerable population;6;172
2;controlling shareholder;6;171
2;workplace safety;6;162
2;2030 agenda;6;158
2;zero accident;6;156
2;product recall;6;139
2;employee share ownership plan;6;137
2;green building;6;135
2;shareholder rights;6;130
2;three lines of defense;6;130
2;occupational illness;6;128
2;childcare;6;127
2;employee turnover;6;127
2;coso framework;6;123
2;labour law;6;121
2;accident rate;6;120
2;energy attribute certificate;6;117
2;Ethisphere;6;117
2;counterfeiting;6;114
2;food bank;6;102
2;responsible tax;6;101
2;green financing;6;96
2;iirc;6;92
2;mitigation hierarchy;6;89
2;musculoskeletal disorder;6;82
2;corporate volunteering;6;80
2;psychological safety;6;70
2;smart meter;6;68
2;auditor independence;6;63
2;safety data sheet;6;62
2;board evaluation;6;60
2;qualification matrix;6;55
2;groundwater contamination;6;54
