termino;n;veredicto;categoria;nota
environmental\w*;1;1;ok;gasto ambiental con datos
environmental\w*;2;1;ok;
environmental\w*;3;1;ok;litigio por desastre ambiental
environmental\w*;4;1;ok;
environmental\w*;5;1;ok;
environmental\w*;6;0;indice;tabla de correspondencia Ley 11/2018
environmentally;1;1;ok;tabla taxonomia con datos
environmentally;2;0;otro;texto de meta ODS citado
environmentally;3;1;ok;tabla taxonomia con datos
environmentally;4;0;indice;cabecera de plantilla taxonomia sin dato
environmentally;5;1;ok;tabla taxonomia con datos
environmentally;6;1;ok;
carbon footprint;1;1;ok;
carbon footprint;2;1;ok;
carbon footprint;3;1;ok;
carbon footprint;4;1;ok;
carbon footprint;5;1;ok;
carbon footprint;6;1;ok;
materiality assessment;1;1;ok;
materiality assessment;2;1;ok;
materiality assessment;3;1;ok;
materiality assessment;4;1;ok;
materiality assessment;5;1;ok;
materiality assessment;6;1;ok;
non-financial information;1;0;financiero;informe de verificacion
non-financial information;2;0;generico;metadatos del informe
non-financial information;3;0;generico;metadatos del informe
non-financial information;4;0;indice;nombre de informe previo en nota
non-financial information;5;0;indice;referencia cruzada
non-financial information;6;1;ok;control interno de la informacion no financiera
environmental footprint;1;0;indice;indice GRI
environmental footprint;2;1;ok;
environmental footprint;3;1;ok;
environmental footprint;4;1;ok;
environmental footprint;5;1;ok;tabla con datos
environmental footprint;6;1;ok;
non-financial statement;1;0;generico;nota al pie sobre marco de reporte
non-financial statement;2;0;financiero;informe de auditoria
non-financial statement;3;0;otro;texto legal del reglamento
non-financial statement;4;0;otro;obligacion legal de reporte
non-financial statement;5;0;indice;referencia cruzada
non-financial statement;6;0;financiero;informe de auditoria
fossil fuel;1;1;ok;
fossil fuel;2;1;ok;
fossil fuel;3;1;ok;
fossil fuel;4;1;ok;
fossil fuel;5;1;ok;
fossil fuel;6;1;ok;
people with disabilities;1;1;ok;
people with disabilities;2;0;indice;tabla de correspondencia
people with disabilities;3;0;indice;tabla de correspondencia
people with disabilities;4;1;ok;
people with disabilities;5;1;ok;
people with disabilities;6;1;ok;
non-financial performance;1;1;ok;
non-financial performance;2;0;indice;tabla de correspondencia
non-financial performance;3;0;financiero;informe de verificacion
non-financial performance;4;1;ok;remuneracion ligada a desempeno no financiero
non-financial performance;5;0;indice;nombre de declaracion en evaluacion del consejo
non-financial performance;6;0;indice;glosario
materiality analysis;1;0;indice;referencia cruzada a web
materiality analysis;2;1;ok;
materiality analysis;3;1;ok;
materiality analysis;4;1;ok;
materiality analysis;5;0;financiero;informe de verificacion
materiality analysis;6;1;ok;
fuel consumption;1;1;ok;riesgo regulatorio CO2 flota
fuel consumption;2;1;ok;
fuel consumption;3;0;otro;aviso legal repetido
fuel consumption;4;0;indice;glosario
fuel consumption;5;1;ok;indice GRI pero con datos
fuel consumption;6;1;ok;
enterprise risk management;1;1;ok;
enterprise risk management;2;1;ok;
enterprise risk management;3;1;ok;
enterprise risk management;4;1;ok;
enterprise risk management;5;0;otro;caso de cliente
enterprise risk management;6;1;ok;
plastic packaging;1;1;ok;
plastic packaging;2;1;ok;
plastic packaging;3;1;ok;
plastic packaging;4;1;ok;
plastic packaging;5;1;ok;
plastic packaging;6;1;ok;
non-financial reporting;1;0;otro;nombre de directiva
non-financial reporting;2;1;ok;
non-financial reporting;3;0;otro;nombre de directiva
non-financial reporting;4;1;ok;
non-financial reporting;5;1;ok;
