bloque;termino;n_muestras;ocurrencias
1;sustainab\w+;40;83636
1;environ\w+;40;75456
1;remuneration;40;60374
1;emission;40;54902
1;governance;40;47289
1;sustainability;40;46492
1;climate;40;45438
1;sustainable;40;35229
1;water;40;27206
1;risk management;40;26716
2;carbon;20;24175
2;human right;20;21428
2;stakeholder;20;20744
2;climate change;20;20725
2;co2e?;20;19980
2;internal control;20;19142
2;waste;20;18181
2;renewable;20;17399
2;electricity;20;16973
2;esg;20;16646
2;diversity;20;16351
2;scope\s*[123]\b;20;15611
2;energy\s+(?:consumption|efficiency|transition|mix|intensity|storage);20;14435
2;non-financial;20;14069
2;co2;20;13351
2;recycl\w+;20;12936
2;audit committee;20;12404
2;biodiversity;20;12106
2;ghg;20;10992
2;social\s+(?:responsibility|impact|policy|pillar|report|performance|value|welfare|audit|capital|sustainability|license|licence|dialogue|protection|partner|standard|norm|commitment|compliance);20;10427
3;corruption;12;10115
3;gender;12;10100
3;inclusion;12;10003
3;fuel;12;9911
3;health and safety;12;9560
3;footprint;12;8838
3;circular;12;8657
3;csr;12;8400
3;independent director;12;8312
3;offset;12;7940
3;ecosystem;12;7525
3;esrs;12;7490
3;materiality;12;7241
3;solar;12;7159
3;greenhouse;12;7127
3;packaging;12;6902
3;gri;12;6812
3;transparency;12;6789
3;fraud;12;6653
3;code of conduct;12;6635
3;disabilit\w+;12;6502
3;integrity;12;6498
3;decarboni\w+;12;6493
3;water\s+(?:usage|consumption|stewardship|management|withdrawal|scarcity|stress);12;6446
3;circular economy;12;5992
3;ethical;12;5942
3;inclusiv\w+;12;5793
3;internal audit;12;5763
3;inclusive;12;5454
3;pollution;12;5451
3;energy consumption;12;5393
3;taxonomy aligned;12;5304
3;plastic;12;5222
3;recycling;12;5183
4;low carbon;12;4933
4;risk appetite;12;4851
4;sdg;12;4751
4;data protection;12;4645
4;hydrogen;12;4481
4;net zero;12;4423
4;cybersecuri\w+;12;4381
4;cybersecurity;12;4369
4;energy efficiency;12;4282
4;due diligence;12;4260
4;taxonomy eligible;12;4137
4;sanction;12;3822
4;disability;12;3805
4;equality;12;3669
4;decarbonization;12;3647
4;whistleblow\w+;12;3577
4;co2e;12;3505
4;discrimination;12;3397
4;eu taxonomy;12;3396
4;social responsibility;12;3379
4;offset\w+;12;3366
4;energy transition;12;3226
4;electrif\w+;12;3085
4;hazardous;12;2989
4;injur\w+;12;2987
4;related party;12;2887
4;conflicts of interest;12;2869
4;works council;12;2838
4;non-compliance;12;2811
4;local\s+communit\w+;12;2750
4;code of ethics;12;2737
4;cdp;12;2592
4;compliance committee;12;2523
4;coal;12;2424
5;whistleblowing;12;2365
5;bribery;12;2360
5;marine;6;2349
5;donation;6;2235
5;electrification;6;2213
5;collective bargaining;6;2204
5;employee engagement;6;1960
5;compliance risk;6;1901
5;harassment;6;1869
