termino;n;veredicto;categoria;nota
sustainab\w+;1;1;ok;materias primas de fuentes sostenibles
sustainab\w+;2;0;indice;
sustainab\w+;3;1;ok;ratings de sostenibilidad
sustainab\w+;4;0;indice;
sustainab\w+;5;0;indice;
sustainab\w+;6;0;generico;sustainably profitable
sustainab\w+;7;1;ok;
sustainab\w+;8;1;ok;objetivos con dato CO2
sustainab\w+;9;1;ok;
sustainab\w+;10;0;indice;portada titulo del informe
sustainab\w+;11;0;indice;
sustainab\w+;12;1;ok;
sustainab\w+;13;0;indice;eslogan de portada
sustainab\w+;14;1;ok;
sustainab\w+;15;1;ok;
sustainab\w+;16;0;generico;tendencia macro sin divulgacion
sustainab\w+;17;1;ok;KPI inversion sostenible
sustainab\w+;18;1;ok;
sustainab\w+;19;0;indice;
sustainab\w+;20;1;ok;promocional
sustainab\w+;21;1;ok;ODS
sustainab\w+;22;0;indice;titulo de portada
sustainab\w+;23;0;indice;
sustainab\w+;24;0;generico;efecto sostenible en resultado
sustainab\w+;25;0;indice;
sustainab\w+;26;0;indice;
sustainab\w+;27;1;ok;
sustainab\w+;28;0;indice;referencia cruzada
sustainab\w+;29;0;otro;nombre de comite en ficha consejero
sustainab\w+;30;0;generico;sustainable profitability
sustainab\w+;31;0;indice;
sustainab\w+;32;1;ok;KPI auditorias a proveedores
sustainab\w+;33;0;generico;benefit sustainably
sustainab\w+;34;0;indice;
sustainab\w+;35;0;indice;
sustainab\w+;36;0;indice;
sustainab\w+;37;0;otro;disclaimer forward-looking
sustainab\w+;38;0;indice;
sustainab\w+;39;0;indice;
sustainab\w+;40;0;indice;
environ\w+;1;0;indice;portada titulo del informe
environ\w+;2;0;indice;
environ\w+;3;0;indice;
environ\w+;4;0;generico;entorno digital
environ\w+;5;0;generico;boilerplate alcance del informe
environ\w+;6;1;ok;
environ\w+;7;1;ok;tabla KPI ambientales
environ\w+;8;0;indice;
environ\w+;9;0;generico;boilerplate alcance del informe
environ\w+;10;0;generico;entorno de mercado
environ\w+;11;0;indice;
environ\w+;12;1;ok;
environ\w+;13;0;indice;
environ\w+;14;0;indice;
environ\w+;15;0;indice;
environ\w+;16;0;indice;
environ\w+;17;0;indice;
environ\w+;18;0;otro;disclaimer forward-looking
environ\w+;19;0;generico;entorno regulatorio
environ\w+;20;0;generico;boilerplate alcance del informe
environ\w+;21;0;indice;
environ\w+;22;0;generico;entorno desafiante
environ\w+;23;0;indice;listado de informes web
environ\w+;24;0;generico;entornos volatiles
environ\w+;25;0;generico;entorno incierto
environ\w+;26;1;ok;primera EP&L
environ\w+;27;0;indice;
environ\w+;28;0;generico;entornos macroeconomicos
environ\w+;29;0;indice;
environ\w+;30;0;generico;boilerplate alcance del informe
environ\w+;31;0;indice;
environ\w+;32;0;generico;boilerplate alcance EINF
environ\w+;33;0;indice;
environ\w+;34;0;indice;
environ\w+;35;1;ok;infografia KPI
environ\w+;36;0;indice;entorno economico en indice
environ\w+;37;0;indice;
environ\w+;38;0;indice;
environ\w+;39;0;indice;
environ\w+;40;1;ok;
remuneration;1;0;indice;
remuneration;2;0;indice;
remuneration;3;0;financiero;modelos de reembolso sanitario
remuneration;4;0;financiero;informe de auditor legal
remuneration;5;0;indice;
remuneration;6;1;ok;politica retributiva variable
remuneration;7;0;financiero;modelos de reembolso sanitario
remuneration;8;0;indice;
remuneration;9;0;indice;
remuneration;10;0;indice;
remuneration;11;1;ok;sanciones retributivas por mala conducta
remuneration;12;0;otro;nombre de comite en ficha consejero
remuneration;13;1;ok;funciones del comite
remuneration;14;0;otro;nombre de comite en ficha consejero
remuneration;15;0;financiero;informe de auditor legal
remuneration;16;0;indice;
remuneration;17;0;indice;
remuneration;18;0;financiero;informe de auditor legal
remuneration;19;1;ok;
remuneration;20;0;indice;
remuneration;21;1;ok;retribucion consejo y objetivos ESG
