termino;ocurrencias;docs;empresas;paises;max_empresa;categoria
compliance;55988;342;49;7;0.093;Gobernanza (G)
social;50090;342;49;7;0.067;Social (S)
internal control;21468;341;49;7;0.098;Gobernanza (G)
supply chain;17692;337;49;7;0.091;Gobernanza (G)
audit committee;12967;331;49;7;0.058;Gobernanza (G)
raw material;10866;287;47;7;0.119;Ambiental (E)
independent director;8811;213;35;7;0.113;Gobernanza (G)
fraud;7476;340;49;7;0.067;Gobernanza (G)
integrity;6766;339;49;7;0.122;Gobernanza (G)
disabilit;6734;322;49;7;0.101;Social (S)
code of conduct;6640;287;47;7;0.117;Gobernanza (G)
internal audit;6574;334;49;7;0.067;Gobernanza (G)
ethical;6391;333;49;7;0.087;Gobernanza (G)
risk appetite;5265;167;28;7;0.202;Gobernanza (G)
sanction;4417;318;49;7;0.18;Gobernanza (G)
nutrition;3085;153;38;7;0.605;Social (S)
works council;3035;264;44;6;0.1;Social (S)
conflicts of interest;2945;323;49;7;0.074;Gobernanza (G)
local communit;2854;250;46;7;0.108;Social (S)
vigilance plan;2816;104;18;2;0.112;Gobernanza (G)
code of ethics;2789;219;37;7;0.16;Gobernanza (G)
marine;2434;234;48;7;0.13;Ambiental (E)
ocean;2361;236;47;7;0.111;Ambiental (E)
collective bargaining;2314;255;48;7;0.083;Social (S)
donation;2312;280;47;7;0.102;Social (S)
volunteer;2103;244;46;7;0.186;Social (S)
employee engagement;2057;229;47;7;0.225;Social (S)
proxy;1978;292;47;7;0.1;Gobernanza (G)
related party;1923;291;46;6;0.096;Gobernanza (G)
trade union;1842;268;44;6;0.108;Social (S)
social dialogue;1818;153;39;5;0.109;Social (S)
ilo;1617;252;46;7;0.14;Social (S)
species;1613;175;43;7;0.153;Ambiental (E)
wastewater;1598;169;36;7;0.103;Ambiental (E)
dei;1588;104;30;7;0.49;Social (S)
equal opportunit;1587;287;48;7;0.068;Social (S)
conflict of interest;1532;268;48;7;0.075;Gobernanza (G)
money laundering;1489;203;37;7;0.127;Gobernanza (G)
ppa;1424;169;40;7;0.198;Ambiental (E)
antitrust;1404;224;45;7;0.149;Gobernanza (G)
customer satisfaction;1363;229;43;7;0.116;Social (S)
animal welfare;1335;124;26;4;0.344;Ambiental (E)
energy management;1299;213;43;7;0.448;Ambiental (E)
business ethics;1267;206;41;7;0.115;Gobernanza (G)
whistleblower;1213;191;45;7;0.14;Gobernanza (G)
landfill;1167;179;39;7;0.112;Ambiental (E)
succession planning;1144;240;42;7;0.121;Gobernanza (G)
global warming;1135;244;49;7;0.111;Ambiental (E)
freedom of association;1089;217;45;7;0.102;Social (S)
duty of vigilance;1085;86;17;2;0.38;Gobernanza (G)
wellbeing;1072;192;48;7;0.095;Social (S)
regenerative agriculture;1071;61;21;6;0.463;Ambiental (E)
grievance;1025;150;45;7;0.236;Social (S)
wind farm;1021;117;30;7;0.247;Ambiental (E)
iso 14001;999;209;39;6;0.204;Ambiental (E)
product safety;990;158;32;7;0.142;Social (S)
scenario analysis;978;167;39;7;0.248;Gobernanza (G)
habitat;952;175;41;7;0.112;Ambiental (E)
accessibility;919;201;44;7;0.077;Social (S)
mental health;914;200;45;7;0.127;Social (S)
human capital;839;196;42;6;0.179;Social (S)
apprentice;828;176;38;5;0.116;Social (S)
hydroelectric;825;70;16;5;0.486;Ambiental (E)
philanthrop;801;152;32;6;0.139;Social (S)
fatalit;784;181;47;7;0.203;Social (S)
work-life balance;770;180;44;6;0.09;Social (S)
absenteeism;760;152;29;5;0.075;Social (S)
equal pay;733;190;45;7;0.181;Social (S)
