termino;tipo;pilar;sectorial;ocurrencias;documentos;empresas
sustainab\w+;patron;TRANS;0;83636;343;49
environ\w+;patron;E;0;75456;343;49
remuneration;termino;G;0;60374;334;49
emission;termino;E;0;54902;339;49
governance;termino;G;0;47289;342;49
sustainability;termino;TRANS;0;46492;342;49
climate;termino;E;0;45438;340;49
sustainable;termino;TRANS;0;35229;343;49
water;termino;E;0;27206;322;49
risk management;termino;G;0;26716;339;49
carbon;termino;E;0;24175;338;49
human right;termino;S;0;21428;329;49
stakeholder;termino;S;0;20744;338;49
climate change;termino;E;0;20725;338;49
co2e?;patron;E;0;19980;325;49
internal control;termino;G;0;19142;339;49
waste;termino;E;0;18181;325;49
renewable;termino;E;0;17399;327;49
electricity;termino;E;0;16973;331;49
esg;termino;TRANS;0;16646;301;49
diversity;termino;S;0;16351;341;49
scope\s*[123]\b;patron;E;0;15611;297;48
energy\s+(?:consumption|efficiency|transition|mix|intensity|storage);patron;E;0;14435;331;49
non-financial;termino;TRANS;0;14069;330;49
co2;termino;E;0;13351;315;49
recycl\w+;patron;E;0;12936;313;49
audit committee;termino;G;0;12404;329;49
biodiversity;termino;E;0;12106;270;48
ghg;termino;E;0;10992;287;48
social\s+(?:responsibility|impact|policy|pillar|report|performance|value|welfare|audit|capital|sustainability|license|licence|dialogue|protection|partner|standard|norm|commitment|compliance);patron;S;0;10427;329;49
corruption;termino;G;0;10115;336;49
gender;termino;S;0;10100;333;49
inclusion;termino;S;0;10003;333;49
fuel;termino;E;0;9911;316;49
health and safety;termino;S;0;9560;297;49
footprint;termino;E;0;8838;325;49
circular;termino;E;0;8657;299;48
csr;termino;TRANS;0;8400;212;42
independent director;termino;G;0;8312;209;35
offset;termino;E;0;7940;334;49
ecosystem;termino;E;0;7525;304;49
esrs;termino;TRANS;0;7490;71;45
materiality;termino;TRANS;0;7241;326;49
solar;termino;E;0;7159;268;49
greenhouse;termino;E;0;7127;322;49
packaging;termino;E;0;6902;249;46
gri;termino;TRANS;0;6812;277;49
transparency;termino;G;0;6789;336;49
fraud;termino;G;0;6653;337;49
code of conduct;termino;G;0;6635;286;47
disabilit\w+;patron;S;0;6502;315;49
integrity;termino;G;0;6498;339;49
decarboni\w+;patron;E;0;6493;242;49
water\s+(?:usage|consumption|stewardship|management|withdrawal|scarcity|stress);patron;E;0;6446;278;47
circular economy;termino;E;0;5992;276;48
ethical;termino;G;0;5942;332;49
inclusiv\w+;patron;S;0;5793;305;47
internal audit;termino;G;0;5763;333;49
inclusive;termino;S;0;5454;302;47
pollution;termino;E;0;5451;267;49
energy consumption;termino;E;0;5393;298;49
taxonomy aligned;termino;TRANS;0;5304;140;47
